"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags"
"681","@T_von_Allmen","RT @MarkusGilli: #SonnTalk: Die Themen: Sozialdetektive: Schnüffelstaat oder Kampf gegen Betrüger? Waffenrecht: Prävention oder Misstrauen? Putin: Diplomatie oder Härte? Meine Gäste: @JayBadran (SP), Pirmin Bischof (CVP) &amp; Thomas Matter (SVP). Ab 18:20h live auf TeleZüri, Tele M1 und TeleBärn.","http://twitter.com/T_von_Allmen/status/982946422126448640",2018-04-08 13:41:00,2018,14,2018-04-08,"RT @MarkusGilli:","#sonntalk: "
"682","@PTamborrini","RT @Knotenbleistift: Guter Punkt: Da können Sachbearbeiter ohne juristische Ausbildung Detektive ohne anerkannte Ausbildung beauftragen – und niemand kann deren Arbeit überprüfen, wenn sie nicht einen groben Patzer begehen. Weil nämlich niemand etwas davon weiss.  #creepy #versicherungsspitzel https://t.co/fr74KLvGch","http://twitter.com/PTamborrini/status/982954362057216001",2018-04-08 14:12:00,2018,14,2018-04-08,"RT @Knotenbleistift:","c(""#creepy "", ""#versicherungsspitzel "")"
"683","@PTamborrini","Super<f0><U+009F><U+0092><U+009C>Das REFERENDUM GEGEN DIE GESETZLICHE GRUNDLAGE FÜR DIE ÜBERWACHUNG VON VERSICHERTEN ist Parteiübergreifend! Es kann jeden treffen! #Versicherungsspitzel #Versicherungsspione #ATSG direkter Link: https://t.co/YMyFdb48Wl https://t.co/pXIKXJQA5i","http://twitter.com/PTamborrini/status/982955530598707200",2018-04-08 14:17:00,2018,14,2018-04-08,NA,"c(""#versicherungsspitzel "", ""#versicherungsspione "", ""#atsg "")"
"684","@phwampfler","RT @ma_rieba: Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/phwampfler/status/982957982483910656",2018-04-08 14:27:00,2018,14,2018-04-08,"RT @ma_rieba:","#versicherungsspione "
"685","@SibylleBerg","wir waren im fernsehgerät https://t.co/1iBTHrAbBK","http://twitter.com/SibylleBerg/status/982958238005186561",2018-04-08 14:28:00,2018,14,2018-04-08,NA,"character(0)"
"686","@dani_graf","RT @jacquelinefehr: Ein richtiger Entscheid. In einem Rechtsstaat dürfen Private bei der Überwachung von Personen nicht mehr Kompetenzen haben als die Strafverfolgungsbehörden. @spschweiz #sozialdetektive
https://t.co/dVmWXBrm33","http://twitter.com/dani_graf/status/982959443406180352",2018-04-08 14:32:00,2018,14,2018-04-08,"RT @jacquelinefehr:","#sozialdetektive"
"687","@dani_graf","RT @SchenkerSilvia: Eben einem SVP Mitglied auf seinen Wunsch hin ein paar Unterschriftsbögen für das Referendum geschickt. Er hilft beim Sammeln #Versicherungsspione #Versicherungsspitzel #ATSG @DimitriRougy @dani_graf @SibylleBerg","http://twitter.com/dani_graf/status/982959639951302656",2018-04-08 14:33:00,2018,14,2018-04-08,"RT @SchenkerSilvia:","c(""#versicherungsspione "", ""#versicherungsspitzel "", ""#atsg "")"
"688","@benjigautschi","All die Twitter-User, die in ihrer Bio von „Freiheit“, „für den freien Menschen“ und „Mehr Freiheit - weniger Staat“ schwafeln und dann für #Versicherungsspitzel sind. Really? <f0><U+009F><U+0098><U+0082><f0><U+009F><U+00A4><U+00A6><U+200D><U+2642><U+FE0F><f0><U+009F><U+0098><U+00A2> #Überwachungsstaat #Freiheit","http://twitter.com/benjigautschi/status/982959700806373376",2018-04-08 14:33:00,2018,14,2018-04-08,NA,"c(""#versicherungsspitzel "", ""#überwachungsstaat "", ""#freiheit"")"
"689","@falsel_net","RT @SibylleBerg: wir waren im fernsehgerät https://t.co/1iBTHrAbBK","http://twitter.com/falsel_net/status/982959924065067008",2018-04-08 14:34:00,2018,14,2018-04-08,"RT @SibylleBerg:","character(0)"
"690","@Andreas_Kovar","RT @jacquelinefehr: Ein richtiger Entscheid. In einem Rechtsstaat dürfen Private bei der Überwachung von Personen nicht mehr Kompetenzen haben als die Strafverfolgungsbehörden. @spschweiz #sozialdetektive
https://t.co/dVmWXBrm33","http://twitter.com/Andreas_Kovar/status/982959943002349568",2018-04-08 14:34:00,2018,14,2018-04-08,"RT @jacquelinefehr:","#sozialdetektive"
"691","@muusaebaer","RT @PTamborrini: Super<f0><U+009F><U+0092><U+009C>Das REFERENDUM GEGEN DIE GESETZLICHE GRUNDLAGE FÜR DIE ÜBERWACHUNG VON VERSICHERTEN ist Parteiübergreifend! Es kann jeden treffen! #Versicherungsspitzel #Versicherungsspione #ATSG direkter Link: https://t.co/YMyFdb48Wl https://t.co/pXIKXJQA5i","http://twitter.com/muusaebaer/status/982960160854421505",2018-04-08 14:35:00,2018,14,2018-04-08,"RT @PTamborrini:","c(""#versicherungsspitzel "", ""#versicherungsspione "", ""#atsg "")"
"692","@dani_graf","<f0><U+009F><U+0091><U+0089> „Ich habe noch nie ein Referendum unterschrieben. Wie geht das genau?“ Bekomme gerade viele solche E-Mails. #versicherungsspione @wecollectCH","http://twitter.com/dani_graf/status/982960404115738625",2018-04-08 14:36:00,2018,14,2018-04-08,NA,"#versicherungsspione "
"693","@benjigautschi","RT @David_Stampfli: Wenn die Stasi wiederkehrt, wird sie nicht sagen: Ich bin die Stasi.
Sie wird sagen: Ich beschütze euch vor Terrorismus und Sozialhilfebetrüger.
#versicherungsspitzel #referendum #wecollect","http://twitter.com/benjigautschi/status/982960526459375616",2018-04-08 14:37:00,2018,14,2018-04-08,"RT @David_Stampfli:","c(""#versicherungsspitzel "", ""#referendum "", ""#wecollect"")"
"694","@MBracher3","@David_Stampfli @spschweiz @wecollectCH Weshalb bin ich jetzt nicht nicht von der Reaktion des SP-lers überrascht, wenn man seinen Lügen/ Unterstellungen wiederlegt?
#HirnfürLinke #Parlamentswahlen #wahlCH #CHvote #Wahlen2019 #Sozialdetektive #Privatsphäre #Transparenzinitiative https://t.co/ynxyY8hgmv","http://twitter.com/MBracher3/status/982960991041449984",2018-04-08 14:38:00,2018,14,2018-04-08,NA,"c(""#hirnfürlinke "", ""#parlamentswahlen "", ""#wahlch "", ""#chvote "", ""#wahlen2019 "", ""#sozialdetektive "", ""#privatsphäre "", ""#transparenzinitiative "")"
"695","@vecirex","RT @dani_graf: <f0><U+009F><U+0091><U+0089> „Ich habe noch nie ein Referendum unterschrieben. Wie geht das genau?“ Bekomme gerade viele solche E-Mails. #versicherungsspione @wecollectCH","http://twitter.com/vecirex/status/982961056174788608",2018-04-08 14:39:00,2018,14,2018-04-08,"RT @dani_graf:","#versicherungsspione "
"696","@muusaebaer","RT @SchenkerSilvia: Eben einem SVP Mitglied auf seinen Wunsch hin ein paar Unterschriftsbögen für das Referendum geschickt. Er hilft beim Sammeln #Versicherungsspione #Versicherungsspitzel #ATSG @DimitriRougy @dani_graf @SibylleBerg","http://twitter.com/muusaebaer/status/982961509964943360",2018-04-08 14:41:00,2018,14,2018-04-08,"RT @SchenkerSilvia:","c(""#versicherungsspione "", ""#versicherungsspitzel "", ""#atsg "")"
"697","@vecirex","Wenn am Schluss noch Leute abstimmen, die sonst auch nicht auf dem Radar sind, können sich die Politologen - ähnlich #Minaretteffekt - wieder gar warm anziehen.
https://t.co/trTwu9Bz8v
#Abst18 #CHvote #Spitzelindustrie #Versicherungsspitzel #Fichenstaat
/@claudelongchamp","http://twitter.com/vecirex/status/982961654978801664",2018-04-08 14:41:00,2018,14,2018-04-08,NA,"c(""#minaretteffekt "", ""#abst18 "", ""#chvote "", ""#spitzelindustrie "", ""#versicherungsspitzel "", ""#fichenstaat"")"
