"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags","cld2","cld3"
"565","@TschankMichel","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/TschankMichel/status/988336508234096640",2018-04-23 10:39:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"566","@BastA_BS","RT @SibelArslanBS: Es gibt viele Gründe für ein Nein beim #Geldspielgesetz
#GeldspielgesetzNEIN @jGruene_jVertEs https://t.co/T51F7woepG","http://twitter.com/BastA_BS/status/988336682255769601",2018-04-23 10:40:00,2018,17,2018-04-23,"RT @SibelArslanBS:","c(""#geldspielgesetz"", ""#geldspielgesetznein "")","de","de"
"567","@Ritigampfi","RT @pEpFoundation: #Netzzensur - wie im #Geldspielgesetz - lässt sich umgehen: dennoch torpediert sie Bestrebungen zur IT-Sicherheit und schafft eine #Zensurinfrastruktur.
Die p=p foundation unterstützt hiermit das @gsg_nein-Fundraising mit CHF 500.
https://t.co/MzBDypyQOo
#Abst18 #CHvote #GSGnein https://t.co/6RwaVwNpbX","http://twitter.com/Ritigampfi/status/988337751224471553",2018-04-23 10:44:00,2018,17,2018-04-23,"RT @pEpFoundation:","c(""#netzzensur "", ""#geldspielgesetz "", ""#zensurinfrastruktur."", ""#abst18 "", ""#chvote "", ""#gsgnein "")","de","de"
"568","@EllenCHSG","RT @Anuril: Die Frage beim #GSGNein ist wie viel uns der Schutz von mündigen Bürgern vor Onlinecasinos im Ausland Wert ist. Wer vom @ParlCH im #Neuland sein #Internetkapput gemacht kriegen will, und gerne in #1984 leben würde, dem wünsche ich ganz viel Spass mit der #SwitzerlandGreatFirewall","http://twitter.com/EllenCHSG/status/988339706189565952",2018-04-23 10:52:00,2018,17,2018-04-23,"RT @Anuril:","c(""#gsgnein "", ""#neuland "", ""#internetkapput "", ""#1984 "", ""#switzerlandgreatfirewall"")","de","de"
"569","@OhneNetzsperren","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/OhneNetzsperren/status/988342428448055297",2018-04-23 11:02:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"570","@digit_AI","Jetzt verstehe ich Ihr Engagement @AGmur ; @Lobbywatch_CH welche Informationen und Verknüpfungen habt ihr noch zum #GSG ? https://t.co/Q8ysWVNzN9","http://twitter.com/digit_AI/status/988346740267999232",2018-04-23 11:20:00,2018,17,2018-04-23,NA,"#gsg ","de","de"
"571","@KrahenbuhI","RT @PhTschopp: Am Wochenende lobte @AGmur die JCVP überschwänglich für die JA-Parole zum #Geldspielgesetz - nun weiss ich auch warum: Ihr Mann bekleidet 3 Ämter im Casinobereich.
#CasinoKartellGesetz #GSGNein
Grafik zum Casinofilz:
https://t.co/wV4tT1wKBo https://t.co/UWAN1ynMSG","http://twitter.com/KrahenbuhI/status/988346774795538432",2018-04-23 11:20:00,2018,17,2018-04-23,"RT @PhTschopp:","c(""#geldspielgesetz "", ""#casinokartellgesetz "", ""#gsgnein"")","de","de"
"572","@_TmnL","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/_TmnL/status/988347521226469376",2018-04-23 11:23:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"573","@wdeSilva","RT @digit_AI: Jetzt verstehe ich Ihr Engagement @AGmur ; @Lobbywatch_CH welche Informationen und Verknüpfungen habt ihr noch zum #GSG ? https://t.co/Q8ysWVNzN9","http://twitter.com/wdeSilva/status/988347579158204418",2018-04-23 11:23:00,2018,17,2018-04-23,"RT @digit_AI:","#gsg ","de","de"
"574","@kochtopfwaermer","RT @digit_AI: Jetzt verstehe ich Ihr Engagement @AGmur ; @Lobbywatch_CH welche Informationen und Verknüpfungen habt ihr noch zum #GSG ? https://t.co/Q8ysWVNzN9","http://twitter.com/kochtopfwaermer/status/988350399290716162",2018-04-23 11:34:00,2018,17,2018-04-23,"RT @digit_AI:","#gsg ","de","de"
